"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","신청접수일 등 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천방법 상세내용","제출서류 상세내용"
"1947","배재장학재단","모범학생장학금(특기자)","민간(기타)","장학금","특기자","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생/박사과정/석사2학기이상/석사신입생(1학기)","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","등록금 범위 내","배재대학교 재학생(대학원생/ 해외 유학생 포함)체육 분야는 전국단위 이상대회 3위 이내 입상자예술/ 문화/ 기능/ 수학/ 과학/ 정보통신/ 외국어/ 외식 기타 이에 준하는 분야의 전국대회 3위 이내 또는 시·도·군·구 대회 1위 입상자","해당없음","2021-12-07~2021-12-21","해당없음","해당없음","등록금 1/000/000원 미만 납부자 선발제외신입생 동창회 가입비 미납부자 선발제외","총 동창회의 추천을 받은 자 총학생회장의 추천을 받은 자배재장학재단의 추천을 받은 자"," * 교내 장학으로 장학공지게시판의 공고 참고 필수/ 방문접수 또는 인터넷접수성적증명서재학증명서주민등록등본장학생 신청양식"
"1948","대사습기능후원회","장학생","민간(기타)","장학금","특기자","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","예체능계열","해당없음","해당없음","대학생 각 100만원","대학교 재학 중인 국악 전공자대사습놀이학생전국대회 각 부문 장원자로서 우리 국악의 후계자로 재능이 뛰어난 자 국악발전에 현저한 공이 있는 국악예술인의 자녀로서 국악에 전심하며 성적이 우수하고 품행이 단정한 자우리나라 국악예술 발전/ 계승에 재질이 인정되며 장래가 유망한 자","해당없음","2022-09-12~2022-09-19","해당없음","2명 ","타 기관 및 단체 장학금 수여자는 제외","해당없음","추천서주민등록등본 1부재학증명서 1부성적증명서 사본 1부학생명의 통장사본 1부"
"1949","재단법인 대하장학회","대하장학생","민간(기타)","장학금","기타","4년제(5~6년제포함)/일반대학원","박사과정/석사2학기이상/석사신입생(1학기)","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","2000000원 * 생활비 장학금","본인 또는 부모가 명씨 성을 가진 대학생/ 대학원 석·박사과정 재학생공학/ 융복합 등 첨단 4차 산업 관련학과 우대 * 대학원생은 대학에 별도 의뢰함","해당없음","기관 문의(12월)","추천자를 대상으로 장학생선발 심사위원회 심사를 거쳐 장학생을 선발 및 발표","해당없음","장학금 수혜는 총 2회를 초과할 수 없음 ","대학총장 추천 대학생"," * 카페 첨부파일 다운로드장학생 신청서자기소개서주민등록 등본 및 가족관계증명재학증명 및 전 학년 성적증명양 부모의 소득증명/ 또는 연말 원천징수영수증 각 1부양 부모의 의료보험료 납입증명 각 1부거래은행 통장 사본본 * 자세한 사항은 카페 참고"
"1950","인우장학재단","우수장학생","민간(기타)","장학금","성적우수","4년제(5~6년제포함)/일반대학원","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/박사과정/석사2학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","B학점 이상","해당없음","해당없음","품행이 타의 모범이 되고 성적이 우수한 대학교(원)에 재학중인 학생","해당없음","기관 문의(12월)","해당없음","해당없음","해당없음","해당없음"," * 이메일 접수 jylee@inwoof.or.kr * 재단 홈페이지에서 지원 서식을 다운받아 작성 후 이메일 접수지원서본인 소개서"
"1951","인우장학재단","일반장학생","민간(기타)","장학금","소득구분","4년제(5~6년제포함)/일반대학원","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/박사과정/석사2학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","해당없음","가정형편이 넉넉지 못하지만 학교내 공동생활이나 사회봉사활동이 적극적이고 학업성적이 보통이상의 학생으로서 학장/총장이 추천하는 학생인우장학재단의 설립 취지에 공감하며 기독교 정신을 바탕으로 국가와 인류사회에 기여하는 세계적인 지도자가 되기를 희망하는 학생동 재단이 추천 의뢰한 학생","해당없음","2022-03-10~2022-03-14","해당없음","해당없음","해당없음","해당없음"," * 이메일 접수 jylee@inwoof.or.kr * 재단 홈페이지에서 지원 서식을 다운받아 작성 후 이메일 접수지원서본인 소개서"
"1952","대한전기협회장학회","장학금","민간(기업)","장학금","기타","4년제(5~6년제포함)","대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/특정학과","해당없음","농어촌 출신자 및 저소득층 자녀 우대","연간 등록금의 50%"," * 전기/원자력분야 전공자3/4학년생으로 전공 3과목 이상 이수자품행이 방정하고 학업성적이 우수한 자","해당없음","2022-01-17~2022-03-04","1차: 학교추천2차: 재단선발 * 우대사항 : 농어촌 출신 자/ 저소득층 자녀/ 전공과목 다 수강자 ","해당없음","해당없음","지도교수 추천","대한전기협회 장학생 지원서"
"1953","나주정씨설재장학회","설재장학생","민간(기타)","장학금","기타","4년제(5~6년제포함)","대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","성적이 우수한 자","가정 형편이 어려운 자","해당없음","2022년도 4년제 대학교 3/ 4학년에 재학중인 자로 애종심이 투철하고 학업성적이 우수하며 가정형편이 어려운자를 우선 선발","해당없음","기관문의(1월, 7월)","해당없음","해당없음","해당없음","1차추천자 : 대종회임원/ 발전연구위원/ 이사님2차추천자 : 장학회이사","추천서붙임양식재학증명서 성적증명서선조의 업적등가르침 감상문 * 자세한 사항은 홈페이지 참고"
"1954","유남장학회","장학생","민간(기타)","장학금","지역연고","4년제(5~6년제포함)","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","학점이 3.5 이상인자(만점 4.5 기준)","해당없음","1500000원","*학교 추천방식으로/ 장학부서에 문의 필수대구/ 경북 지역 4년제 대학에 재학중인 자학업성적은 우수하나 경제적 사정으로 인하여 학업 수행이 곤란한 대학 2/3/4학년 학생학업성적이 기준에 적합할 때에는 경제적 사정과 장래래의 가능성을 우선 고려하여 선발","해당없음","2021-11-01~2021-11-09","해당없음","해당없음","학교에서 징계 처분을 받은 자휴학/군입대 등 기타 사유로 인하여 2학기 학업을 계속 할 수 없는 자장학금 수혜대상자로서 성적기준에 미달인 자중복수혜 제한","해당없음","* 학교 추천 방식으로/ 신청시 각 학교 장학부서에 문의 필수.장학금지급신청서 1부추천서 1부성적증명서 1부신청 사유서(별도 서식 없음)"
"1955","김대중평화센터","영호남상생장학금","민간(기타)","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","2000000원","전남 소재 대학에 재학중인 대학생  동서화합/ 인권신장/ 평화정착 등에 노력한 대학생 또는 그 분야에 공적이 있는 사람의 대학생 자녀  * 자세한 사항은 첨부파일 참고 ","공고일 현재 보호자 또는 학생 본인이 1년 이상 전라남도에 주소를 두고 있는 자 ","2021-10-08~2021-10-29","해당없음","5명","휴학생/ 졸업생 제외","해당없음","장학금 지원신청서활동실적 등 증빙자료추천서재학증명서주민등록등본개인정보 수집이용제공 동의서  보통예금 통장 사본 "
"1956","김대중평화센터","서울평화희망장학금","민간(기타)","장학금","소득구분","특정대학","대학2학기/대학3학기/대학4학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","기초생활수급자 법정차상위계층 (우대)","2000000원","대한민국 국적을 소지한 서울 소재 대학 학부생대학생활 동안 인류평화 활동/ 소외된 이웃의 인권운동/ 사회정의활동 등을 활발히 지속적으로 실천해온 대학생 활동가","해당없음","2022-09-05~2022-09-23","해당없음","10명","해당없음","해당없음","장학금 신청서장학금 추천서개인정보동의서공익활동 실적 증빙서류재학증명서경제적기준 증빙서류 "
"1957","(재)상지학원발전기금재단","학생행복장학금","민간(기타)","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음"," 가계가 곤란한 자","500000원","현재 상지대학교에 재학 중인 자로 학업에 충실한 학생으로서 가계가 곤란한 자상지학원발전기금재단에 발전기금을 납부하고 있는 상지대학교 교직원의 추천을 받은 학생","해당없음","2021-10-14~2021-12-14","해당없음","해당없음","해당없음","재단에 발전기금을 납부하고 있는 상지대학교 교직원의 추천","장학생 신청서장학생 추천서재학증명서재학생 본인 명의의 통장사본 * 방문접수/ 자세한 사항은 첨부파일 참고"
"1958","한국천주교주교회의 평신도기금운영위원회","명도회장학금(천주교)","민간(기타)","장학금","기타","4년제(5~6년제포함)/일반대학원","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생/박사과정/석사2학기이상/석사신입생(1학기)","사회계열/특정학과","학업성적이 우수한 자","해당없음","장학금 지원 분야 : 6000000원학술연구비 지원 분야 : 3000000원 * 학기당 300만원 분할지급 학술연구비의 경우 1/2은 논문 작성 완료 후 지급","장학금 지원분야 : 국내외에서 천주교와 관련된 학문을 전공하는 대학 신입생/ 재학생/ 석사 또는 박사 학위과정(등록예정)에 있는 자학술 연구비 지원 분야 : 연구주제는 천주교와 직·간접적으로 관련된 내용이며/ 연구 계획서와 연구자 요건 충족해야함","해당없음","2022-07-18~2022-07-21","해당없음","해당없음","학술연구비 지원자의 경우 접수일 당시 내부 및 외부 연구비를 지원받는 자 * 자세한 사항은 선발 기관으로 문의 바랍니다.","주임 신부 추천"," * 장학금 지원 분야장학금 신청서자기소개서대학 입학·재학 증빙 서류대학원 및 대학 전학년 성적 증명서지도 교수 추천서학업 계획서주임 신부 추천서 * 학술 연구비 지원 분야신청서연구자 인적 사항연구 계획서연구 수행 계획연구 실적 목록"
"1959","아경장학재단","일반장학금","민간(기타)","장학금","소득구분","특정대학","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 2022.1학기 성적 우수자 (학과 상위 30% 이내)최소기준 : 직전학기 12학점 이상 취득/ 평점평균 2.0이상","가정형편이 곤란한 학생 ( * 소득분위가 높지 않을수록 우대)","등록금 전액(학비성) * 타 장학과 합산하여 등록금 초과수혜 불가","2022.2학기 기준 2학년 또는 3학년 정규학기 재학생","해당없음","2022-03-14~2022-03-25","해당없음","학과별 2명 추천 후 재단 심의를 통해 1명만 최종선발 됨","휴학예정자","지도교수 의견 포함 추천서 제출","장학생 추천서증명사진 1매 추천서 부착/ 1매 별도 제출자기소개서개인정보 수집이용제공 및 조회 동의서교외장학생 서약서성적증명서 * 자세한 사항은 소속 학과 사무실로 문의요망"
"1960","재단법인 완주군인재육성재단","일반장학금","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","신입생 : 수능성적 백분위 평균 60점 이상 또는 고등학교 3학년 1학기 내신성적 평균 60점 이상재학생 : 직전학기 백분율 평균 80점 이상","성적50% + 생활정도 50% ","4000000원 (최대)","해당없음","2022년 1월 1일 기준일 포함 완주군에 2년 이상 주소를 둔 자 또는 그 자녀","2022-03-14~2022-03-25","해당없음","해당없음","일반장학금 지원자 중 학비(수업료)가 전액 면제·지원되는 자한 가정에서 2인 이상 지원 가능하나/ 성적순으로 1명만 최종 선발대학원생/ 사이버대학교 제외외","해당없음","장학생 지원서장학생 추천서성적증명서신입생 : 수능 백분위 성적표 또는 고등학교 내신성적 증명서재학생 : 대학교 성적증명서재학증명서주민등록등본가족관계증명서건강보험료납부확인서 및 자격득실 확인서개인정보 제공 동의 및 활용승낙서 등 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고"
"1961","재단법인 완주군인재육성재단","생활장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","학업성적 30% 반영","부/모 합계 건강보험료 납부금액 10만원 미만","3000000원(최대)","해당없음","2022년 1월 1일 기준일 포함 완주군에 2년 이상 주소를 둔 자 또는 그 자녀","2022-03-14~2022-03-25","성적 30% + 생활정도 70%","해당없음","일반장학금 지원자 중 학비(수업료)가 전액 면제·지원되는 자한 가정에서 2인 이상 지원 가능하나/ 성적순으로 1명만 최종 선발대학원생/ 사이버대학교(신입생/ 편입학생/ 시간제등록생 등) 제외","해당없음","장학생 지원서장학생 추천서성적증명서신입생 : 수능 백분위 성적표 또는 고등학교 내신성적 증명서재학생 : 대학교 성적증명서재학증명서주민등록등본가족관계증명서건강보험료납부확인서및 자격득실 확인서개인정보 제공 동의 및 활용승낙서 등 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고"
"1962","재단법인 완주군인재육성재단","대학진학우수","지자체","장학금","지역연고","4년제(5~6년제포함)/특정대학","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","10000000원 (12학기 분할 지급)","서울대/ 카이스트/ 포항공대/ 연세대/ 성균관대/ 고려대/ 한양대/ 이화여대/ 서울시립대/ 외국어대/ 중앙대/ 서강대 각 대학교 의대/ 치대/ 한의대 본교 최종 합격자(신입생)","2022년 1월 1일 기준일 포함 완주군에 2년 이상 주소를 둔 자 또는 그 자녀","2022-03-14~2022-03-25","해당없음","해당없음","완주지역 고등학교 졸업자(예체능 제외)","해당없음","장학생 지원서장학생 추천서졸업증명서재학증명서주민등록등본가족관계증명서건강보험료납부확인서및 자격득실 확인서개인정보 제공 동의 및 활용승낙서 등 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고"
"1963","재단법인 완주군인재육성재단","예체능 장학금","지자체","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","예체능계열","해당없음","해당없음","(개인전)국제대회 금 300만원 은 200만원 동 100만원전국대회 금 100만원 은 70만원 동 50만원(단체전)국제대회 금 200만원 은 150만원 동 100만원전국대회 금 80만원 은 50만원 동 30만원","완주지역 중고등학교 출신 대학생2021년도 국제대회 또는 전국대회에서 수상한 자","2022년 1월 1일 기준일 포함 완주군에 2년 이상 주소를 둔 자 또는 그 자녀","2022-02-03~2022-02-23","해당없음","해당없음","일반장학금 지원자 중 학비(수업료)가 전액 면제·지원되는 자한 가정에서 2인 이상 지원 가능하나/ 성적순으로 1명만 최종 선발대학원생/ 사이버대학교(신입생/ 편입학생/ 시간제등록생 등) 제외","해당없음","2020년 경기실적증명서서장학생 지원서장학생 추천서성적증명서재학증명서주민등록등본가족관계증명서건강보험료납부확인서및 자격득실 확인서개인정보 제공 동의 및 활용승낙서 등 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고"
"1964","현풍현암장학회","장학금","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","신입생: 고등학교 최종학기 성적이 총점 만점의 70%이상 또는 전 학년 석차의 50% 이내인 자재학생: 직전학기 성적 B 이상 또는 총점의 70%이상인 자","경제적 이유로 진학 및 수학이 곤란한 자","5000000원","대학생 및 입학 예정자 중 학업성적이 우수하거나 기능의 특기가 있으나 경제적 이유로 진학 및 수학이 곤란한 자","달성군 현풍면에 주소를 5년 이상 계속 두고 거주하고 있는 읍민과 그의 자녀","2022-08-29~2022-09-21","해당없음","5명 내외","타장학금(250만원 이상) 수혜자","학교장 추천읍/면장 추천","장학생선발신청서학교장추천서읍장추천서서약서개인정보 제공 동의서가족관계증명서/ 주민등록초본(주소내역기재)직전학기 성적증명서/ 재학증명서(재학생)수능성적표/ 입학증명서(신입생)2021 지방세 세목별납세증명서현풍초등학교 졸업증명서(해당자)현풍소재 중고등학교 졸업증명서(해당자)등록금 납부 확인서 * 자세한 사항은 첨부파일 참고"
"1965","건양대학교","장애학생우수장학금","대학교","장학금","장애인","특정대학","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","장애학생(본인) :  * 중증장애(기존1~3등급): 직전학기 성적 2.0 이상 * 경증장애(기존4~6등급): 직전학기 성적 2.5 이상비장애학생(부모) : 직전학기 성적 3.0이상 ","해당없음","장애학생(본인) : 500000원비장애학생(부모) : 300000원원 * 자세한 사항은 교내 홈페이지 장학공지 참조","장애학생 본인 또는 장애인가정(부모 또는 배우자)의 학생","해당없음","기관 문의","해당없음","해당없음","당해학기 성적우수자(최우수/ 우수) 장학생으로 선발된 학생은 지급대상 제외","해당없음"," * 장애학생(본인)장학금 신청서 1부장애인증명서 1부(혹은 장애인 등록증 사본 1부)* 비장애학생(부모)장학금 신청서 1부장애인증명서 1부(혹은 장애인 등록증 사본 1부)/가족관계증빙서류 1부(주민등록등본 혹은 가족관계증명서 등)"
"1966","건양대학교","H4C장학금","대학교","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음"," □ 인성 : 인성이 선하여 선행 및 효심이 깊은자 또는 사회봉사활동 실적이 우수한 자 □ 외국어 : TOEIC(영어)/ HSK·CPT(중국어)/ JLPT·JPT·NIKKEN(일본어) 성적이 우수한 자 □ 자격증 : 자격증 취득 학생 □ 창의력 : 교내외 창의력 경진대회 3위 이내 입상자 □ 컴퓨터 : IT관련 자격증 취득학생 ※ 자세한 사항 첨부파일 참조","해당없음","일정액 ( 포인트 적립 )"," * 현재 재학중인 건양대학교 학생으로/ H4C 각 부분·항목(외국어/인성/자격증/창의력/컴퓨터) 별로 추천받거나/ 자격증을 취득한 자 * 자세한 사항 첨부파일 참조","해당없음","2020-12-03~2021-12-09","해당없음","해당자 전원"," * 자격증 및 어학점수의 경우 재학 및 휴학 중 취득한 점수 및 자격증만 인정","(인성) 처장급 이상 또는 학과장의 추천을 받은 자(창의력) 학과장의 추천을 받은 자"," * 장학팀으로 문의"
"1967","사회복지법인미리암재단","오병이어장학금","민간(기타)","장학금","장애인","4년제(5~6년제포함)","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","저소득층","1000000원 (최대)","2018~2019년 오병이어 장학생 중/ 장애가족 및 저소득층에 해당하는 대학생법인소재 인근 주민센터 및 지역아동센터 추천을 받은 장애가족 및 저소득층 초/중/고 대학생","해당없음","모집 기간 종료(추후 모집)","전화확인 후/ 직접방문 접수만 가능함 ","5~8명 ","오병이어 장학금 수령 이력이 없어야 함 ","해당없음","지원신청서신청사유서기초생활수급자증명서장애인복지카드사본주민등록등본건강보험 납입영수증 사본 *자세한 내용은 홈페이지 참조"
"1968","대한건설협회서울특별시회","우수장학생","민간(기업)","장학금","소득구분","4년제(5~6년제포함)","대학3학기/대학4학기/대학5학기/대학6학기","공학계열","2020년 1학기 학업성적이 60%이내인 자","부모(또는 친권자)가 가정형편이 어려운 자※부모(또는 친권자) 재산(토지포함)이 2억원 이내이고 연소득 5천만원 이내","3000000원","국내 정규대학 건설관련 공학과(토목/ 건축/ 조경등) 재학생남은 학기가 2학기 이상인 자※ 결손가정 및 장애인/ 건설관련 종사자 가족인 경우 우선 고려","해당없음","해당없음","해당없음","해당없음","중복수혜 제한(국비 또는 타 장학금 미수령자. 국가장학금을 받은 학생은 대한건설협회 장학금 수령후 국가장학금 취소 및 반납가능)","학교(장)추천"," * 학교 추천 방식으로/ 신청시 각 학교 장학부서에 문의 필수. 자기소개서개인정보 수집 동의서성적증명서친권자 소득금액증명서친권자 지방세 세목별 과세증명서2020년 봉사활동내역서통장 사본"
"1969","한국해양대학교해양벤처진흥센터","장학금","민간(기타)","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음"," 평균학점 3.0 이상인 자(대학원생의 경우 성적 제한 없음)기타 상세 선발 기준은 첨부파일 참고","해당없음","1000000원","*한국해양대학교 재학생학부생: 창업관련 프로그램에 참여한 경험이 있는 자대학원생: 대학원생 중 학내 교수 또는 해양벤처진흥센터 입주기업 CEO의 추천을 받은 자","해당없음","2022-03-28~2022-04-15","해당없음","7명","해당없음","학부생: 지도교수대학원생: 학내 교수 또는 해양벤처진흥센터 입주기업 CEO 추천","※ 공통제출서류재학증명서성적증명서통장사본자기기록서(자유형식/창업관련 활동/경험/계획/ 준비내용 등 기재)사업자등록증 1부(해당자에 한함)※ 기타 제출 서류 (해당자만 제출)1) 학부생창업동아리 지정서창업동아리 활동 실적 1부기타 증빙 자료 2) 대학원생연구실적 증빙자료(논문사본 등)※ 제출처 : 해양벤처진흥센터 행정실 (아산관 615호)"
"1970","동국대학교경주캠퍼스","복지장학생(부모장애유형)","대학교","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 12학점 이상 이수하고 평점평균 2.0이상","소득분위가 8분위 이하","300000원 * 생활비 보조","동국대학교 경주캠퍼스 재학생부모 장애등급 1 ~ 3급","해당없음","2022-02-09~2022-03-04","해당없음","OO명","해당없음","해당없음","장학금신청서가족관계증명서장애인증명서 (제출일 기준 6개월 이내 발급서류만 인정)본인통장사본"
"1971","재단법인 파주시행복장학회","장학금","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","대학생재학생(우수) : 직전학기 12학점 이상 취득으로 4.5만점 기준 평균학점이 3.5 이상인 학생대학생재학생(생활지원) : 2.5이상","부.모 건강보험료 납부확인서 기준 2021년 납입액이 300만원 미만인 학생생","우수장학금 (대학재학생) : 2000000원생활지원장학금 (대학진학생) : 2000000원생활지원장학금(대학재학생) : 1000000원원","파주시 관내 고등학교에 졸업(예정) 후 국내대학에 진학한 학생 중 분야별 선발 기준에 적합하고/ 신청제외 사유가 없는 학생","장학생 선발 공고일 현재 주민등록상 부/모 세대주와 학생이 3년 이상 파주시에 계속 거주하고 있는 시민의 자녀","2020-02-14~2020-02-28","해당없음","우수장학금 (대학재학생) : 25명생활지원장학금 (대학진학생) : 36명생활지원장학금(대학재학생) : 18명 ","해당없음","생활지원 장학생 : 읍·면·동장등의 추천 ","장학금 지급 신청서추천서개인정보 수집 및 이용 동의서  * 자세한 사항은 첨부파일 참고"
"1972","재단법인 원방장학회","장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","전문대 : 2000000원 이내4년제 : 3000000원 이내 * 입학금과 수업료 범위내에서 지급하며 국가장학금 대상자는 국가장학금을 제외한 금액만 지급","일반장학생 : 주민등록상 마천면에 등재되어 있고 세대가 구성되어있는 학생 중 마천면내 초·중학교를 졸업하고 대학 및 대학교 입학한 학생특별장학생 : 부모의 등록기준지가 마쳔면에 있는 자녀 중 서울대/ 포항공대/ 카이스트 대학에 입학한 학생 또는 예체능적 재능이 뛰어나 전국대회 입학한 학생","일반장학 : 주민등록상 마천면에 등재되어 있고 세대가 구성되어 있는 학생 중 경남 함양군 마천면 내 초/ 중학교를 졸업하고 대학 및 대학교에 입학한 학생특별장학 : 부모의 본적이 마천면 내에 있는 자녀","2022-05-09~2022-05-20","재단법인 원방장학회 이사회의 심의를 거쳐 예산의 범위 내에서 선정","해당없음","방송통신대/ 외국유학생/ 대학원생/ 산업체 위탁교육생/ 사이버대학생/ 디지털대학생/ 기타 유사한 대학은 수혜 대상에서 제외","해당없음","장학금 신청서(소정약식)마천초등학교 졸업증명서마천중학교 졸업증명서합격 통지서 사본(해당자)등록금 납입 영수증 사본(해당자)주민등록등본 또는 가족관계증명서본적임을 입증할 수 있는 서류"
"1973","예산사랑장학회","예산사랑장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 평점 2.2이상인 대학생","한국장학재단 20221학기 소득구간증명 4구간 이하","2000000원","장학금이 필요하다고 인정되어 학교장의 추천을 받은 저소득 가정 또는 장애가 있는 대학생장애 대학생: 본인이 중증장애인으로 등록된 대학생","공고일 기준 본인 또는 부·모가 예산군에 1년 이상 계속해서 주민등록주소지를 두고 예산군 소재 고등학교를 졸업한 관내·외 대학교 재학생","2022-05-09~2022-05-20","해당없음","17명","예산군에서 지급하는 다른 장학금(다자녀가정/이장자녀장학금 등)수혜자휴학생 및 휴학 예정자","해당없음","장학금 지원 신청서신청인 서약서개인정보 수집이용제공 및 활용 동의서주민등록 초본(주소 이력사항 포함)가족관계증명서(부모기준)재학증명서직전학기 성적증명서(재학생)졸업고교 성적증명서(신입생)군내 고교 졸업 증명서건강보험납부확인서소득구간(분위) 통지서중증장애 증명서/ 수급자증명서 또는 의료급여증명서/ 기타 신청자격 증빙서류 (해당자) * 자세한 사항은 첨부파일 참고"
"1974","예산사랑장학회","인재장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","4년제 대학교 2학년이상 재학생으로서 직전학기 12학점이상 이수자로 평점이 4.0이상(4.5만점)인 대학생 <학점제가 4.3제인 경우 4.5제로 환산 적용>","해당없음","2000000원","4년제 대학교 2학년이상 재학생으로서 직전학기 12학점이상 이수자로 평점이 4.0이상(4.5만점)인 대학생","공고일 기준 본인 또는 부·모가 예산군에 1년 이상 계속해서 주민등록주소지를 두고 예산군 소재 고등학교를 졸업한 관내·외 대학교 재학생","2022-08-01~2022-08-30","해당없음","37명","예산군에서 지급하는 다른 장학금(다자녀가정/ 이장자녀장학금 등) 수혜자휴학생/ 휴학예정자","해당없음","장학금 지원 신청서신청인 서약서개인정보 수집이용제공 및 활용 동의서주민등록 초본(주소 이력사항 포함)가족관계증명서(부모기준)재학증명서직전학기 성적증명서(재학생)졸업고교 성적증명서(신입생)군내 고교 졸업 증명서건강보험납부확인서소득구간(분위) 통지서중증장애 증명서/ 수급자증명서 또는 의료급여증명서/ 기타 신청자격 증빙서류 (해당자) * 자세한 사항은 첨부파일 참고"
